Site;Dato;Tid;regn;vind;sol og sky;sommerfugler;Fluer;andre
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
E01;07.07.16;14:50;littregn;1;overskyet;;5;
E02;07.07.16;14:50;;1;overskyet;;5;
E03;07.07.16;14:45;littregn;1;overskyet;;6;
E04;07.07.16;15:05;littregn;1;overskyet;;1;
E05;07.07.16;15:10;littregn;1;overskyet;;6;
E06;07.07.16;15:20;littregn;1;overskyet;;17;
E07;07.07.16;15:30;littregn;1;overskyet;;6;
E08;07.07.16;15:40;littregn;1;overskyet;;8;
E09;07.07.16;14:15;;1;overskyet_littsol;;25;
E10;07.07.16;14:20;;1;overskyet_littsol;;8;
E01;08.07.16;13:40;;1;sol_littsky;;12;
E02;08.07.16;13:30;;1;sol_littsky;;18;
E03;08.07.16;13:15;;1;sol_littsky;3 bloddrape;27;
E04;08.07.16;13:05;;1;sol_littsky;;25;
E05;08.07.16;13:00;;1;sol_littsky;;16;
E06;08.07.16;12:50;;1;sol_littsky;;61;
E07;08.07.16;12:45;;1;sol_littsky;;30;
E08;08.07.16;12:35;;1;sol_littsky;;33;
E09;08.07.16;12:10;;1;sol_littsky;;59;
E10;08.07.16;12:15;;1;sol_littsky;;23;
E01;13.07.16;12:50;;1;sol_littsky;;34;
E02;13.07.16;12:20;;1;sol_littsky;;40;
E03;13.07.16;13:25;;1;overskyet;;22;
E04;13.07.16;13:10;;1;overskyet_littsol;;37;
E05;13.07.16;13:40;;2;overskyet_littsol;;18;
E06;13.07.16;13:50;;2;overskyet_littsol;;52;
E07;13.07.16;14:00;;2;overskyet;;12;
E08;13.07.16;14:10;;2;overskyet;;21;
E09;13.07.16;14:30;;2;overskyet;;24;
E10;13.07.16;14:40;;2;overskyet;;28;
E01;14.07.16;16:25;;2;overskyet_littsol;;11;
E02;14.07.16;16:31;;2;overskyet_littsol;;14;
E03;14.07.16;16:40;;2;overskyet_littsol;;10;
E04;14.07.16;16:15;;2;overskyet_littsol;;8;
E05;14.07.16;16:10;;2;overskyet_littsol;;15;
E06;14.07.16;16:00;;2;overskyet_littsol;;18;
E07;14.07.16;15:50;;2;overskyet_littsol;;14;
E08;14.07.16;15:40;;2;overskyet_littsol;;22;
E09;14.07.16;15:30;;2;overskyet_littsol;;21;
E10;14.07.16;15:10;;2;overskyet_littsol;;27;
E01;15.07.16;15:35;;1;sol_littsky;;21;
E02;15.07.16;15:45;;1;sol_littsky;;19;
E03;15.07.16;15:50;;1;sol_littsky;;17;
E04;15.07.16;15:25;;1;sol_littsky;;27;
E05;15.07.16;15:20;;1;sol_littsky;;24;
E06;15.07.16;15:05;;1;sol_littsky;;26;
E07;15.07.16;15:00;;1;sol_littsky;;28;
E08;15.07.16;14:15;;1;sol_littsky;;29;
E09;15.07.16;12:50;;1;sol_littsky;;25;
E10;15.07.16;13:20;;1;sol_littsky;;31;
M01;23.07.16;18:20;;1;overskyet_littsol;;21;
M02;23.07.16;18:40;;1;overskyet_littsol;;18;
M03;23.07.16;18:45;;1;overskyet_littsol;;12;
M04;23.07.16;19:40;;1;overskyet_littsol;;9;
M05;23.07.16;19:00;;1;overskyet_littsol;;16;
M06;23.07.16;19:05;;1;overskyet_littsol;;21;
M07;23.07.16;19:10;;1;overskyet_littsol;;15;
M08;23.07.16;19:20;;1;overskyet_littsol;;18;
M09;23.07.16;19:30;;1;overskyet_littsol;2 sommerfugler;12;
M10;23.07.16;19:45;;1;overskyet_littsol;;9;
M01;24.07.16;19:00;;1;overskyet_littsol;;5;
M02;24.07.16;19:10;;1;overskyet_littsol;;8;
M03;24.07.16;18:40;;1;overskyet_littsol;;9;
M04;24.07.16;18:25;;1;overskyet_littsol;;15;
